Italian,English
e,and
non,non
che,that
di,of
la,the
il,the
un,and
a,a
per,per
è,and
in,in
una,a
mi,me
sono,i am
ho,to
l',l'
si,and
ha,ha
ma,and
lo,it
cosa,what
con,with
no,no
le,the
ti,of
se,with
da,and
i,i
come,come
io,this
ci,there
hai,two
questo,this
bene,well
qui,who
sei,be
del,of the
tu,that
solo,alone
mio,my
al,al
me,me
tutto,all
c',c'
te,the
era,era
della,from the
mia,my
fatto,done
fare,do
essere,to be
so,so
quando,when
sì,yes
ora,no
lei,law
gli,the
ne,it is
oh,oh
questa,this
detto,said
ok,ok
va,and
perche,why
quello,that
mai,may
alla,at the
o,the
anche,also
stato,state
abbiamo,we have
tutti,everyone
dei,of the
grazie,thank you
chi,spend
sta,they are
molto,very
più,more
voglio,i want
perché,why
tuo,that
beh,well
sia,is
nel,in the
lui,his
allora,at that time
posso,i can
piu,more
ehi,cow
prima,before
tua,old
suo,his
niente,nothing
qualcosa,something
sai,until
siamo,we are
un',and'
cosi,like this
davvero,really
ancora,still
essante,interesting
